Table 1.1. Selected streamflow duration and low-frequency statistics for continuous-record streamflow gages in Ohio.,,,,,,,,,,,,,,,,,,,
"[Data are in the associated data release (VonIns and Koltun, 2024), available via https://doi.org/10.3133/sir20245057. ft3/s, cubic feet per second]",,,,,,,,,,,,,,,,,,,
Annual/seasonal period,"Streamflow that was equaled or exceeded
 for the indicated percentage of time (ft3/s)",,,,,,,,,,,,,Number of days in averaging period,Minimum average low flow (ft3/s) for indicated recurrence interval (years),,,,
,,,,,,,,,,,,,,7,2.52,1.49,1.1,0.84,0.61
,,,,,,,,,,,,,,30,5.94,2.66,1.81,1.34,0.98
,,,,,,,,,,,,,,90,23.9,11.1,7.34,5.17,3.45
"03117500—Sandy Creek at Waynesburg OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 120 ft3/s—Average streamflow: 314 ft3/s—Minimum daily streamflow: 15.0 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,31,40.2,52.3,64,76,87,100,135,179,236,311,437,710,1,40.7,28,23,19.5,16.1
,,,,,,,,,,,,,,7,43.8,30.8,25.7,22.3,19
,,,,,,,,,,,,,,30,52.1,36.3,30.9,27.4,24.3
,,,,,,,,,,,,,,90,75.2,49.2,40.9,35.7,31.2
May–November,28,34.2,43,50.5,58,66,74,89.8,111,139,187,267,464,1,40.6,28,23,19.5,16.2
,,,,,,,,,,,,,,7,43.7,30.7,25.8,22.3,19.1
,,,,,,,,,,,,,,30,51.9,36.2,30.8,27.4,24.2
,,,,,,,,,,,,,,90,72.9,48.1,40.8,36.6,33.1
December–February,54,67,92,110,130,150,170,210,259,325,414,573,872,1,95.7,61,48.1,39.5,31.5
,,,,,,,,,,,,,,7,108,68,53.4,43.7,34.9
,,,,,,,,,,,,,,30,187,113,86.6,69.1,53.3
,,,,,,,,,,,,,,90,389,265,213,177,142
September–November,26,31,38,43,49,55,61.7,75,88,110,141,205,351,1,42,28.4,23.5,20.3,17.4
,,,,,,,,,,,,,,7,45.2,31.1,26.6,23.8,21.3
,,,,,,,,,,,,,,30,60.9,38.9,31.9,27.6,23.9
,,,,,,,,,,,,,,90,124,74.7,59.1,49.4,41
"03118000—Middle Branch Nimishillen Creek at Canton OH—Statistics based on water years: 1975–2020
Harmonic mean flow: 15.0 ft3/s—Average streamflow: 49.3 ft3/s—Minimum daily streamflow: 0.46 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,2.77,5,7.5,9.76,12,14,16,21.8,27.5,36,46,64,108,1,5.59,2.68,1.66,1.07,0.62
,,,,,,,,,,,,,,7,6.51,3.15,1.98,1.28,0.75
,,,,,,,,,,,,,,30,9.19,4.54,2.91,1.94,1.17
,,,,,,,,,,,,,,90,14.1,7.21,4.78,3.3,2.09
May–November,1.81,3.7,5.52,7.1,8.76,10.1,12,15,19.1,24.1,32,43.8,74,1,5.54,2.68,1.68,1.09,0.63
,,,,,,,,,,,,,,7,6.54,3.17,1.99,1.3,0.76
,,,,,,,,,,,,,,30,9.17,4.56,2.94,1.96,1.19
,,,,,,,,,,,,,,90,14.1,7.18,4.78,3.32,2.13
December–February,7.1,9.3,12,14.7,17,20,23,28,35.4,45,57.7,82.6,140,1,14,7.77,5.41,3.89,2.6
,,,,,,,,,,,,,,7,15.2,9.35,7.35,6.07,4.92
,,,,,,,,,,,,,,30,26.4,15.3,11.5,9,6.83
,,,,,,,,,,,,,,90,59.5,38,28.8,22.4,16.4
September–November,1.28,1.9,4.2,5.56,6.63,7.8,9,11,14,18,23.1,33.3,55,1,6.53,2.91,1.74,1.09,0.61
,,,,,,,,,,,,,,7,7.36,3.26,1.99,1.28,0.75
,,,,,,,,,,,,,,30,10.7,4.72,2.94,1.95,1.19
,,,,,,,,,,,,,,90,22.4,10.5,6.64,4.39,2.64
"03121850—Huff Run at Mineral City OH—Statistics based on water years: 1998–2015
Harmonic mean flow: 6.03 ft3/s—Average streamflow: 15.4 ft3/s—Minimum daily streamflow: 0.77 ft3/s",,,,,,,,,,,,,,,,,,,
April–March,1.61,2.29,2.9,3.4,3.88,4.42,5.04,6.6,8.38,10.9,14.4,19,29.9,1,2.32,1.42,1.07,0.84,0.63
,,,,,,,,,,,,,,7,2.58,1.64,1.28,1.05,0.83
,,,,,,,,,,,,,,30,3.19,2.09,1.7,1.45,1.21
,,,,,,,,,,,,,,90,4.24,2.67,2.15,1.82,1.53
May–November,1.4,1.9,2.44,2.87,3.2,3.51,3.82,4.59,5.79,7.24,9.15,12.7,20,1,2.32,1.42,1.07,0.84,0.63
,,,,,,,,,,,,,,7,2.58,1.64,1.28,1.05,0.83
,,,,,,,,,,,,,,30,3.19,2.09,1.7,1.45,1.21
