object_id,record_type,well_use,longitude,latitude,coord_source,county,township,completion_date,total_depth_ft,dem_elev_ft,aquifer_type,drill_type,test_rate_gpm,static_water_level_ft,case_length_ft,bedrock_depth_ft,well_no
30,W,DOMESTIC,-84.091942,40.711462,DIGITIZED,ALLEN,PERRY,1958-11-25,38.0,888.2999877929688,GRAVEL,,15.0,20.0,38.0,,170868
31,W,DOMESTIC,-83.93817,40.67463,,ALLEN,AUGLAIZE,1990-07-10,60.0,1018.5,LIMESTONE,ROTARY,15.0,30.0,54.0,51,715025
32,W,DOMESTIC,-83.89332999999999,40.6552,GEOCODE,ALLEN,AUGLAIZE,1991-10-15,95.0,1038.4000244140625,LIMESTONE,ROTARY,12.0,54.0,64.0,61,737513
33,W,DOMESTIC,-84.24264,40.79035,GLOBAL POSITIONING SYSTEM,ALLEN,MARION,1978-09-25,65.0,798.5999755859375,LIMESTONE,,15.0,6.0,26.0,26,540966
34,W,DOMESTIC,-84.32015,40.83295,GEOCODE,ALLEN,MARION,1994-11-16,71.0,777.5999755859375,LIMESTONE,ROTARY,5.0,20.0,25.0,25,790429
35,W,DOMESTIC,-84.03972999999999,40.788669999999996,GLOBAL POSITIONING SYSTEM,ALLEN,BATH,1967-07-25,76.0,887.7000122070312,LIMESTONE,,16.0,20.0,41.0,40,357528
36,W,DOMESTIC,-83.93318,40.73027,GEOCODE,ALLEN,JACKSON,1973-09-26,66.0,994.7000122070312,LIMESTONE,,12.0,38.0,42.0,42,512497
37,W,DOMESTIC,-84.165292,40.700536,DIGITIZED,ALLEN,SHAWNEE,1963-01-23,90.0,848.5999755859375,GRAVEL,,10.0,29.0,90.0,,281616
39,W,DOMESTIC,-84.153975,40.778529,DIGITIZED,ALLEN,AMERICAN,1956-07-14,130.0,818.7000122070312,GRAVEL,,10.0,37.0,130.0,,176886
40,W,DOMESTIC,-84.120161,40.769959,DIGITIZED,ALLEN,AMERICAN,1955-07-05,126.0,844.7000122070312,LIMESTONE,,15.0,63.0,115.0,115,156831
41,W,DOMESTIC,-84.116967,40.787580999999996,DIGITIZED,ALLEN,AMERICAN,1963-04-24,81.0,834.9000244140625,LIMESTONE,,16.0,28.0,30.0,30,286074
42,W,DOMESTIC,-84.10296,40.70587,,ALLEN,PERRY,1957-08-03,42.0,884.5999755859375,GRAVEL,,10.0,12.0,42.0,,197501
43,W,DOMESTIC,-84.05152,40.68065,GEOCODE,ALLEN,PERRY,1988-03-17,65.0,936.0,GRAVEL,CABLE TOOL,20.0,25.0,65.0,,657194
44,W,DOMESTIC,-84.12301,40.6982,GEOCODE,ALLEN,SHAWNEE,1987-03-13,294.0,896.0999755859375,LIMESTONE,ROTARY,20.0,170.0,158.0,158,665401
45,W,DOMESTIC,-84.1282,40.68772,GEOCODE,ALLEN,SHAWNEE,1979-09-12,250.0,889.2999877929688,LIMESTONE,,10.0,165.0,217.0,217,569359
46,W,,-84.12664099999999,40.7109,DIGITIZED,ALLEN,SHAWNEE,1956-08-28,174.0,863.9000244140625,LIMESTONE,,4.0,151.0,65.0,65,173431
47,W,DOMESTIC,-84.132271,40.68853,DIGITIZED,ALLEN,SHAWNEE,1955-06-13,83.0,877.2999877929688,SAND,,6.0,32.0,82.0,,127369
48,W,DOMESTIC,-84.109295,40.800024,DIGITIZED,ALLEN,AMERICAN,1957-03-03,83.0,823.7999877929688,LIMESTONE,,2.0,26.0,61.0,61,174099
51,W,DOMESTIC,-84.05927,40.78329,GEOCODE,ALLEN,BATH,1990-09-15,100.0,875.4000244140625,LIMESTONE,ROTARY,10.0,38.0,50.0,47,715053
52,W,DOMESTIC,-84.02523699999999,40.790188,DIGITIZED,ALLEN,BATH,1958-08-20,90.0,877.9000244140625,LIMESTONE,,10.0,7.0,56.0,56,224053
53,W,DOMESTIC,-84.15191999999999,40.709182,DIGITIZED,ALLEN,SHAWNEE,1962-10-16,95.0,848.2999877929688,GRAVEL,,10.0,30.0,95.0,,281609
56,W,DOMESTIC,-84.178784,40.756523,DIGITIZED,ALLEN,AMERICAN,1953-06-23,125.0,833.5,LIMESTONE,,70.0,30.0,42.0,40,82977
57,W,DOMESTIC,-84.222747,40.734863999999995,DIGITIZED,ALLEN,AMERICAN,1956-09-09,36.0,828.5,GRAVEL,,,,31.0,,121439
58,W,DOMESTIC,-84.156301,40.763675,DIGITIZED,ALLEN,AMERICAN,1965-05-01,135.0,831.7999877929688,GRAVEL,,9.0,88.0,135.0,,317281
